severity,section,addr,type_note,current_replace,proposed_fix
high,story,08073DFE,"Messiah Church revive-service result line. JP '＞灰に　なってしまった' = 'turned to ash' (the worse-than-failure revive outcome, appearing right after '失敗してしまった' = 'Didn't work!'). EN renders it 'Fell asleep!', which is invented and gives the player factually wrong feedback about a catastrophic/permanent-loss revival result (灰=ash, not sleep). Sibling result line 'Didn't work!' drops the JP '＞' cursor marker, so the fix stays label-free for consistency. Preserves the {=0f035e3c0708} opcode prefix + {PAGE}/{WAIT}.","Welcome to the Mesia church,{n}here in God's presence.{WAIT}{PAGE}This church serves all those{n}who believe in God.{WAIT}{PAGE}For a small donation, we offer{n}the following services.{WAIT}{PAGE}Full Heal performs Heal, Cure, Revive, and Remove Curse{n}all at once.{WAIT}{PAGE}Heal fully restores{n}HP and MP.{WAIT}{PAGE}Cure returns minor status{n}ailments to a healthy state.{WAIT}{PAGE}Revive restores those in DEAD{n}or DYING status.{WAIT}{PAGE}Remove Curse restores those in{n}CURSE, BAT, or FLY status.{WAIT}{PAGE}Buy Items lets you purchase various goods we have prepared. Use them in battle{n}or while traveling.{WAIT}{PAGE}May God be with you always.{WAIT}{PAGE}{=0f03d03d0708}{PAGE}The status ailments are{n}as follows.{WAIT}{PAGE}・HAPPY A state of bliss; behavior is unpredictable. May recover on{n}its own each turn.{WAIT}{PAGE}・PANIC A state of confusion; behavior{n}is unpredictable.{WAIT}{PAGE}This state also recovers{n}after battle.{WAIT}{PAGE}May recover on its own{n}each turn.{WAIT}{PAGE}・CLOSE No magic can be used. Unless cured, this state persists{n}even after battle.{WAIT}{PAGE}・SHOCK Electrocution from Zio-type magic and the like. Unable to{n}act until it wears off.{WAIT}{PAGE}Recovers automatically{n}on the next turn.{WAIT}{PAGE}・FREEZE Frozen by Bufu-type magic. Unable to act until it wears{n}off after a few turns.{WAIT}{PAGE}・BIND Paralyzing bind. May recover{n}on its own each turn.{WAIT}{PAGE}If you are bound, you cannot talk to demons or use the COMP,{n}so take care.{WAIT}{PAGE}・SLEEP Asleep and unable to act. May{n}recover on its own each turn.{WAIT}{PAGE}・CHARM Charmed into attacking allies. May recover on its own{n}each turn.{WAIT}{PAGE}・CURSE Cursed. Take 1 damage for{n}every 4 steps you walk.{WAIT}{PAGE}It can only be removed at a healing facility, making it{n}very dangerous.{WAIT}{PAGE}・BAT The body becomes a bat. Drains 1 HP from your allies with{n}every step taken.{WAIT}{PAGE}It can only be removed{n}at a healing facility.{WAIT}{PAGE}・FLY The body becomes a fly. Max HP and MP plummet, and no{n}experience can be gained.{WAIT}{PAGE}Speed also becomes 40, but{n}all other stats become 1.{WAIT}{PAGE}It can only be removed{n}at a healing facility.{WAIT}{PAGE}・POISON Poisoned. Take 1 damage for every 4 steps. Does not{n}recover on its own.{WAIT}{PAGE}・PALYZE Paralyzed and unable to act. Take 1 damage for{n}every 2 steps.{WAIT}{PAGE}If you are paralyzed, you cannot talk to demons or use{n}the COMP, so take care.{WAIT}{PAGE}・STONE Petrified and unable to act at all. Does not recover{n}on its own.{WAIT}{PAGE}If all non-demon party members are petrified, it is{n}all over.{WAIT}{PAGE}・UNDEAD A DEAD ally being controlled{n}by Necroma magic.{WAIT}{PAGE}Returns to DEAD when{n}the battle ends.{WAIT}{PAGE}・DYING Near death. A human character{n}whose HP has dropped to 0.{WAIT}{PAGE}・DEAD Deceased. Allies enter this state at 0 HP and return to{n}the COMP at once.{WAIT}{PAGE}{=0f03d03d0708}{PAGE}HP and MP are{n}fully restored.{WAIT}{PAGE}The cost of healing varies{n}with the total amount restored.{WAIT}{PAGE}{=0f03d03d0708}{PAGE}Among status ailments, CURSE, BAT, and FLY cannot be cured{n}by healing magic or items.{WAIT}{PAGE}Restoring health from these three is called removing{n}a curse.{WAIT}{PAGE}This can only be done at{n}a healing facility.{WAIT}{PAGE}{=0f03d03d0708}{PAGE}Restoring health from DEAD or{n}DYING is called revival.{WAIT}{PAGE}In these states, one cannot fight at all, making it hard{n}to press onward.{WAIT}{PAGE}Allies in these states can be{n}summoned again once revived.{WAIT}{PAGE}{=0f03d03d0708}{=38040100f84a0708}{PAGE}＞Revive whom?{=6203363d0708bc4a0708d84a0708}{=0f035e3c0708}{PAGE}Didn't work!{WAIT}{=0f035e3c0708}{PAGE}Fell asleep!{WAIT}{=0f035e3c0708}{PAGE}Everyone is alive and well...{WAIT}{=0f035e3c0708}{=c7030100}{PAGE}May God's protection{n}be with you.{WAIT}",{=0f035e3c0708}{PAGE}Turned to ash...{WAIT}
high,story,08074C9C,Same revive-service 'turned to ash' result line as 08073DFE (a duplicate copy at another church/menu instance). JP '＞灰に　なってしまった' mistranslated as 'Fell asleep!'. Invented benign outcome where JP signals the body crumbled to ash. Preserves the {=0f03284c0708} opcode prefix + {PAGE}/{WAIT}.,"Have you heard of our{n}Gaia temple?{WAIT}{PAGE}This is a place that those who{n}prize freedom may use freely.{WAIT}{PAGE}Though we charge ћ1000 to LAW types who don't grasp the{n}worth of freedom.{WAIT}{PAGE}Full Heal performs Heal, Cure, Revive, and Remove Curse{n}all at once.{WAIT}{PAGE}Heal fully restores{n}HP and MP.{WAIT}{PAGE}Cure returns minor status{n}ailments to a healthy state.{WAIT}{PAGE}Revive restores those in DEAD{n}or DYING status.{WAIT}{PAGE}Remove Curse restores those in{n}CURSE, BAT, or FLY status.{WAIT}{PAGE}Buy Items lets you purchase various goods we have{n}prepared.{WAIT}{PAGE}Use them as you see fit.{WAIT}{PAGE}{=0f03704c0708}{PAGE}The status ailments are{n}as follows.{WAIT}{PAGE}・HAPPY A state of bliss; behavior is unpredictable. May recover on{n}its own each turn.{WAIT}{PAGE}・PANIC A state of confusion; behavior is unpredictable. May recover{n}on its own each turn.{WAIT}{PAGE}This state also recovers{n}after battle.{WAIT}{PAGE}・CLOSE No magic can be used. Unless cured, this state persists{n}even after battle.{WAIT}{PAGE}・SHOCK Electrocution from Zio-type magic. Unable to act; recovers{n}on the next turn.{WAIT}{PAGE}・FREEZE Frozen by Bufu-type magic. Unable to act until it wears{n}off after a few turns.{WAIT}{PAGE}・BIND Paralyzing bind. May recover{n}on its own each turn.{WAIT}{PAGE}If you are bound, you cannot talk to demons or use the COMP,{n}so watch yourself.{WAIT}{PAGE}・SLEEP Asleep and unable to act. May{n}recover on its own each turn.{WAIT}{PAGE}・CHARM Charmed into attacking allies. May recover on its own{n}each turn.{WAIT}{PAGE}・CURSE Cursed. Take 1 damage for{n}every 4 steps you walk.{WAIT}{PAGE}It can only be removed at a healing facility, making it{n}very dangerous.{WAIT}{PAGE}・BAT The body becomes a bat. Drains 1 HP from your allies with{n}every step taken.{WAIT}{PAGE}It can only be removed{n}at a healing facility.{WAIT}{PAGE}・FLY The body becomes a fly. Max HP and MP plummet, and no{n}experience can be gained.{WAIT}{PAGE}Speed becomes 40, but all other stats become 1. Only{n}removable at a healing facility.{WAIT}{PAGE}・POISON Poisoned. Take 1 damage for every 4 steps. Does not{n}recover on its own.{WAIT}{PAGE}・PALYZE Paralyzed and unable to act. Take 1 damage for{n}every 2 steps.{WAIT}{PAGE}If you are paralyzed, you cannot talk to demons or use{n}the COMP, so watch yourself.{WAIT}{PAGE}・STONE Petrified and unable to act at all. Does not recover{n}on its own.{WAIT}{PAGE}If all non-demon party members{n}are petrified, it is all over.{WAIT}{PAGE}・UNDEAD A DEAD ally controlled by Necroma magic. Returns to DEAD{n}when the battle ends.{WAIT}{PAGE}・DYING Near death. A human character{n}whose HP has dropped to 0.{WAIT}{PAGE}Cannot take part in battle and{n}does not recover on its own.{WAIT}{PAGE}・DEAD Deceased. Allies enter this state at 0 HP and return to{n}the COMP at once.{WAIT}{PAGE}{=0f03704c0708}{PAGE}HP and MP are{n}fully restored.{WAIT}{PAGE}The cost of healing varies{n}with the total amount restored.{WAIT}{PAGE}{=0f03704c0708}{PAGE}Among status ailments, CURSE, BAT, and FLY cannot be cured{n}by healing magic or items.{WAIT}{PAGE}Restoring health from these three is called removing{n}a curse.{WAIT}{PAGE}This can only be done at{n}a healing facility.{WAIT}{PAGE}{=0f03704c0708}{PAGE}Restoring health from DEAD or{n}DYING is called revival.{WAIT}{PAGE}In these states, one cannot fight at all, making it hard{n}to press onward.{WAIT}{PAGE}Allies in these states can be{n}summoned again once revived.{WAIT}{PAGE}{=0f03704c0708}{=38040500de580708}{PAGE}＞Heal whom?{=c50320590708e6590708025a0708}{=0f03284c0708}{PAGE}All are in fine health.{WAIT}{=0f03284c0708}{=3804020038590708}{PAGE}＞Heal whom?{=600320590708}{=0f03284c0708}{PAGE}You don't have enough (Macca).{WAIT}{=0f03284c0708}{PAGE}All are in fine health.{WAIT}{=0f03284c0708}{=3403}‐{=0f03284c0708}{=3804030082590708}{PAGE}＞Cure whom?{=610320590708}{=0f03284c0708}{PAGE}All are in fine health.{WAIT}{=0f03284c0708}{=38040100cc590708}{PAGE}＞Revive whom?{=620320590708e6590708025a0708}{=0f03284c0708}{PAGE}All are alive and well.{WAIT}{=0f03284c0708}{PAGE}Didn't work!{WAIT}{=0f03284c0708}{PAGE}Fell asleep!{WAIT}{=0f03284c0708}{PAGE}May chaos come upon{n}this world.{WAIT}{=c7030300}{=2f04}",{PAGE}Turned to ash...{WAIT}{=0f03284c0708}
high,story,08075C64,Same revive 'turned to ash' result line (another duplicate instance; first-pass flagged medium but the error is identical to the high copies — player-facing wrong feedback on a permanent-loss outcome). JP '灰になってしまった' rendered 'Fell asleep!'. Preserves the {=0f03e85b0708} opcode prefix + {PAGE}/{WAIT}.,"You wanna know about the Repair Garaaage?{WAIT}{PAGE}Our doors are open to one and aaall!{WAIT}{PAGE}Full Heal does Heal, Cure, Revive, and Uncurse all at ooonce!{WAIT}{PAGE}Heal fills your HP and MP right uuup!{WAIT}{PAGE}Cure fixes minor status ailments and makes you healthy agaaain!{WAIT}{PAGE}Revive brings you back from DEAD or DYING!{WAIT}{PAGE}Uncurse undoes CURSE, BAT, and FLY!{WAIT}{PAGE}Buy Items lets you buy some goods we stock! Mostly stuff you use in battle!{WAIT}{PAGE}Everything's niiice and cheap!{WAIT}{PAGE}So come on in and take your tiiime!{WAIT}{PAGE}{=0f03385c0708}{PAGE}Here's the rundown on status ailments!{WAIT}{PAGE}- HAPPY{n}Pure bliss! Actions become unpredictable! Has a chance to wear off each turn!{WAIT}{PAGE}- PANIC{n}Confusion! Actions become unpredictable! Has a chance to wear off each turn!{WAIT}{PAGE}- CLOSE{n}No magic at all! It stays even after battle unless cured!{WAIT}{PAGE}- SHOCK{n}Electrocuted by Zio magic and such! Can't act until it wears off!{WAIT}{PAGE}It wears off on the next turn!{WAIT}{PAGE}- FREEZE{n}Frozen by Bufu magic! Can't act until it wears off, buuut{WAIT}{PAGE}it goes away on its own after a few turns!{WAIT}{PAGE}- BIND{n}Paralyzed in place! Has a chance to wear off each turn!{WAIT}{PAGE}If YOU get bound, you can't talk to demons or use the COMP, so watch ooout!{WAIT}{PAGE}- SLEEP{n}Fast asleep and unable to act! Has a chance to wear off each turn!{WAIT}{PAGE}- CHARM{n}Charmed into attacking your own friends!{WAIT}{PAGE}Has a chance to wear off each turn!{WAIT}{PAGE}- CURSE{n}Cursed! You take 1 damage every 4 steps!{WAIT}{PAGE}Only a healing facility can remove it, so it's suuuper dangerous!{WAIT}{PAGE}- BAT{n}Your body turns into a bat! It drains 1 HP from your allies every step!{WAIT}{PAGE}Only a healing facility can remove it! Dangerous!{WAIT}{PAGE}- FLY{n}Your body turns into a fly! Max HP and MP plummet and you get no EXP!{WAIT}{PAGE}Your Speed becomes 40, but everything else drops to 1!{WAIT}{PAGE}Only a healing facility can remove it!{WAIT}{PAGE}- POISON{n}Poisoned! You take 1 damage every 4 steps! It won't go away on its own!{WAIT}{PAGE}- PALYZE{n}Paralyzed and unable to act! You take 1 damage every 2 steps!{WAIT}{PAGE}If YOU get paralyzed, you can't talk to demons or use the COMP, so watch ooout!{WAIT}{PAGE}- STONE{n}Petrified and unable to act! It won't go away on its own!{WAIT}{PAGE}If your whole human party turns to stone, it's all over!{WAIT}{PAGE}- UNDEAD{n}A DEAD ally demon being puppeted by Necroma magic!{WAIT}{PAGE}They go back to DEAD when the battle ends!{WAIT}{PAGE}- DYING{n}At death's door! A human character whose HP hit 0!{WAIT}{PAGE}- DEAD{n}Dead as can be!{WAIT}{PAGE}Ally demons whose HP hits 0 become DEAD and return to the COMP right away!{WAIT}{PAGE}{=0f03385c0708}{PAGE}Restores all your HP and MP!{WAIT}{PAGE}The price depends on how much there is to heal!{WAIT}{PAGE}{=0f03385c0708}{PAGE}CURSE, BAT, and FLY can't be fixed with healing magic or items!{WAIT}{PAGE}Getting healthy again from those three is called Uncursing!{WAIT}{PAGE}Only a healing facility can do it!{WAIT}{PAGE}{=0f03385c0708}{PAGE}Getting healthy again from DEAD or DYING is Reviving!{WAIT}{PAGE}In those states you can't fight at all, so it gets hard to push on!{WAIT}{PAGE}Revive a DEAD ally demon and you can summon it again!{WAIT}{PAGE}{=0f03385c0708}{=38040500c2690708}{PAGE}＞Whooo shall I heal?{=c5030c6a0708cc6a0708e86a0708}{=0f03e85b0708}{PAGE}Everyone's A-OK!{WAIT}{=0f03e85b0708}{=38040200246a0708}{PAGE}＞Whooo shall I heal?{=60030c6a0708}{=0f03e85b0708}{PAGE}You don't have enough (Macca).{WAIT}{=0f03e85b0708}{PAGE}Everyone's A-OK!{WAIT}{=0f03e85b0708}{=3403}／{=0f03e85b0708}{=38040300786a0708}{PAGE}＞Whooo shall I cure?{=61030c6a0708}{=0f03e85b0708}{PAGE}Everyone's A-OK!{WAIT}{=0f03e85b0708}{=38040100086b0708}{PAGE}＞Whooo shall I revive?{=62030c6a0708cc6a0708e86a0708}{=0f03e85b0708}{PAGE}Didn't work!{WAIT}{=0f03e85b0708}{PAGE}Fell asleep!{WAIT}{=0f03e85b0708}{PAGE}Everyone's A-OK!{WAIT}{=0f03e85b0708}{PAGE}Thank yooou very muuuch!{WAIT}{=c7030300}",{=0f03e85b0708}{PAGE}Turned to ash...{WAIT}
high,story,08076C90,"Same revive 'turned to ash' result line, duplicate instance. JP '＞灰に　なってしまった' rendered 'Fell asleep!' (invented benign outcome; 灰になる = turned to ashes). Preserves the {=0f03d26e0708} opcode prefix + {PAGE}/{WAIT}.",＞Who shall I heal?{=c503ba6c0708ca6d0708e66d0708}{=0f03d26e0708}{PAGE}You don't have enough (Macca).{WAIT}{=0f03d26e0708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03d26e0708}{=380402001a6d0708}{PAGE}＞Who shall I heal?{=6003ba6c0708}{=0f03d26e0708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03d26e0708}{=38040300626d0708}{PAGE}＞Who shall I cure?{=6103ba6c0708}{=0f03d26e0708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03d26e0708}{PAGE}Let me explain!{WAIT}{PAGE}{=0f03d26e0708}{=38040100066e0708}{PAGE}＞Who shall I revive?{=6203ba6c0708ca6d0708e66d0708}{=0f03d26e0708}{PAGE}Didn't work!{WAIT}{=0f03d26e0708}{PAGE}Fell asleep!{WAIT}{=0f03d26e0708}{PAGE}Everyone's aliiive!{WAIT}{=0f03d26e0708}{=c7030100}{PAGE}Come agaaain!{WAIT},{PAGE}Turned to ash...{WAIT}
high,story,08076FD4,"Same revive 'turned to ash' result line, duplicate instance. JP '＞灰に　なってしまった' rendered 'Fell asleep!'. Real mistranslation, not localization. Preserves the {PAGE}/{WAIT} structure (no leading opcode on this copy of the line).",＞Who shall I heal?{=c503fe6f0708327107084e710708}{=0f03c2720708}{PAGE}You don't have enough (Macca).{WAIT}{=0f03c2720708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03c2720708}{=380402005e700708}{PAGE}＞Who shall I heal?{=6003fe6f0708}{=0f03c2720708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03c2720708}{=38040300a6700708}{PAGE}＞Who shall I cure?{=6103fe6f0708}{=0f03c2720708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03c2720708}{=0f03c2720708}{PAGE}Let me explain!{WAIT}{PAGE}{=0f03c2720708}{=3804010014710708}{PAGE}＞Who shall I revive?{=6203fe6f0708327107084e710708}{=0f03c2720708}{PAGE}Everyone's aliiive!{WAIT}{=0f03c2720708}{PAGE}Didn't work!{WAIT}{=0f03c2720708}{PAGE}Fell asleep!{WAIT}{=0f03c2720708}{=c7030200}{PAGE}Come agaaain!{WAIT},{PAGE}Turned to ash...{WAIT}
high,story,0807738C,"Same revive 'turned to ash' result line, duplicate instance. JP '＞灰に　なってしまった' rendered 'Fell asleep!'. Real mistranslation. Preserves the {PAGE}/{WAIT} structure.",＞Who shall I heal?{=c503b6730708e474070800750708}{=0f03a0750708}{PAGE}You don't have enough (Macca).{WAIT}{=0f03a0750708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03a0750708}{=3804020016740708}{PAGE}＞Who shall I heal?{=6003b6730708}{=0f03a0750708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03a0750708}{=380403005e740708}{PAGE}＞Who shall I cure?{=6103b6730708}{=0f03a0750708}{PAGE}Everyone's just fiiine!{WAIT}{=0f03a0750708}{PAGE}Let me explain!{WAIT}{PAGE}{=0f03a0750708}{=38040100c6740708}{PAGE}＞Who shall I revive?{=6203b6730708e474070800750708}{=0f03a0750708}{PAGE}Everyone's aliiive!{WAIT}{=0f03a0750708}{PAGE}Didn't work!{WAIT}{=0f03a0750708}{PAGE}Fell asleep!{WAIT}{=0f03a0750708}{=c7030300}{PAGE}Come agaaain!{WAIT},{PAGE}Turned to ash...{WAIT}
high,dialogue,08093A64,"JP: ホエッ？{n}わかんなーい！ = ""Eh?{n}I don't understand!"". The EN tacks ""YOU MAKE NO SENSE!"" run-on (no {n}/{PAGE}) onto ""understand!"". Searched whole file: ""YOU MAKE NO SENSE!"" appears nowhere else and has no JP basis here — invented content rendered run-together inside one window. Real.",Eh? I don't{n}understand!YOU MAKE NO SENSE!,Eh? I don't{n}understand!
high,dialogue,08093D58,"JP is the four-char idiom 有言実行 (follow through on your word). The EN's second sentence ""Are you unsatisfied with yourself?"" is verbatim the EN of the following separate entry 08093D62 (今の自分に満足してないのか？), leaked in run-together with no boundary. ""Think first."" is a loose-but-acceptable gloss; the leaked duplicate is the real error. Keeping the existing first-sentence rendering and stripping the leak.",Think first.Are you unsatisfied{n}with yourself?,Think first.
high,dialogue,0809411E,"JP: みんな　お前にやられた{n} = ""Everyone was defeated by you!"". The EN's ""Cursed Devil Buster!"" is verbatim the EN of the following separate entry 08094138 (デビルバスターめ！); file search shows that string occurs exactly on 08094138 (legit) and here (leaked), run-together with no break. Real duplicate/hallucination.",You killed everyone!Cursed Devil Buster!,You killed everyone!{n}
high,dialogue,0809A726,"JP: 貴様……{n}あくまで戦おうというのか！ = ""You...{n}So you intend to fight to the bitter end?!"". あくまで (飽くまで, adverb ""to the last / persistently"") was misread as 悪魔 (akuma = demon); the EN ""you fight using demons!?"" invents ""demons"" and changes the meaning. Genuine false-friend mistranslation, not localization.",You.. you fight using{n}demons!?,You..{n}so you really intend to fight!?
