table_addr,entries,target_lo,target_hi,covered_pct,claiming_sections,status,sample,note
08032BDC,29,080A0CD8,080A0F58,100,negotiate_status,covered,□は/体が麻痺した··□,
08032C60,6,080A0FEE,080A116C,100,negotiate_outcomes,covered,·□は/□に/□づけしようとした··□□しかし　強烈なヒジテツをくらい/倒れた·,
08032CD8,29,080A1190,080A14F2,100,battle_taunts,covered,·ふふふ　ここでは　命など/わたげの様に　かるい！··□,
08032DDC,55,080896E6,0809ECC4,98,dialogue,covered-debug,··□区Rテスト··□狗□区□区□区□区□区□区□区□区□区·01：通常戦闘··,"slot 0 = the orphaned dev debug-menu script (docs/debug-menu.md, no live dispatch); slots 1+ are the negotiation dialogue table (dialogue section)"
08032ED0,75,0809ED0E,0809F28C,100,dialogue,covered,愚かしいにも　ほどがあろう,
08033000,80,0809F2AC,0809F88A,100,dialogue,covered,それじゃあ……,
08033158,97,0809F8CA,0809FF86,100,dialogue,covered,あいにく　,
080332E0,139,0809FF9A,080A0A1A,100,dialogue,covered,どうして？,
08033518,154,0809ACE8,080A0B8E,100,dialogue,covered,わらわは　どうじゃ,
08033788,70,0809B850,0809BFA6,100,dialogue,covered,宝石……それで　いかがです？,
080338A8,6,0809BFBA,0809C05E,100,dialogue,covered,だめです！··神のご意思に　反します/やはり　共には行けません,
080338E8,56,0809C0A2,0809C412,100,dialogue,covered,ならば　,
080339D4,60,0809C44E,0809C9DA,100,dialogue,covered,私は　真メシアに出会えました··どうか/おそばで仕えさせて下さい,
08033AD0,25,0809CA0E,0809CBB0,100,dialogue,covered,私には　神と兄弟が/ついているのですよ,
08033B48,55,0809CBDC,0809CEA0,100,dialogue,covered,神を　裏切るという,
08033C2C,94,0809CEB2,0809D632,100,dialogue,covered,私達天使には　通用しません,
08033DAC,37,0809D69E,0809D9B4,100,dialogue,covered,が………女の魅力など/,
08033E48,24,0809D9C6,0809DAE4,100,dialogue,covered,です　貴方よりまずしい者は/他に大ぜい　いるのですから……,
08033ECC,11,0809DB4E,0809DBB0,100,dialogue,covered,ざんげしますか？,
08033F20,34,0809DC2E,0809DE18,100,dialogue,covered,悪魔との取引など　今のうちに/改めた方が　身のためですよ……,
08033FB0,13,0809DE2A,0809DEE6,100,dialogue,covered,私達は　人間界にいると/かなり力を　使うのです,
08033FEC,62,0809A8BE,0809E11E,100,dialogue,covered,そうですか　,
080340E8,19,0809AA5C,0809AAFC,100,dialogue,covered,楽にしてくれえ！,
08034138,30,0809AB12,0809AC34,100,dialogue,covered,抹殺せよ！,
080341B4,90,080993B4,0809ACDA,100,dialogue,covered,じゅる！,
08034324,12,0809981C,0809985E,100,dialogue,covered,う…うわあー,
0803435C,46,0809987C,08099AB0,100,dialogue,covered,宝石…·…·…·で　手をうとう！,
0803441C,4,08099ACC,08099B0E,100,dialogue,covered,無理だ··やはり　貴様と共には行けぬ/すまぬが　いたし方ないのだ,
0803443C,154,08099B34,0809A582,100,dialogue,covered,気の毒だが　,
080346AC,18,0809A59E,0809A726,100,dialogue,covered,お前の事は/きっと　大地も見守ってくれよう,
080346FC,43,08090BE8,0809A7E0,100,dialogue,covered,私に　何か用か？,
080347AC,523,08090ED4,08094034,100,dialogue,covered,何だと！　,
08034FDC,111,0809404E,080946F2,100,dialogue,covered,近寄るなあ！,
0803519C,9,08094706,08094792,100,dialogue,covered,お主の目！　神がかり者かぁ！,
080351C4,10,080947A4,0809489E,100,dialogue,covered,それで/,
080351FC,36,0808FF12,08094B34,100,dialogue,covered,なぜ/そうまでして　悪魔を狩る？,
08035290,4,0808FFDA,08090020,100,dialogue,covered,さぁ　何してるの？,
