site,shape,run,owned,section,triage,near_tr,target,sample
08032BBC,isolated,2,claimed,story,,,080A0C2E,すでに効いている··□
08032BC0,isolated,2,claimed,story,,,080A0C46,しかし　効果がなかった··□
08032BCC,isolated,2,claimed,story,,,080A0C8C,□は/アンデッドにされた··□
08032BD0,isolated,2,claimed,story,,,080A0C8C,□は/アンデッドにされた··□
08032BE4,table,4,claimed,negotiate_status,,,080A0D0A,□は/ハエにかえられた··□
08032BE8,table,4,claimed,negotiate_status,,,080A0D0A,□は/ハエにかえられた··□
08032BEC,table,4,claimed,negotiate_status,,,080A0D28,□は/こうもりになった··□
08032BF0,table,4,claimed,negotiate_status,,,080A0D28,□は/こうもりになった··□
08032C24,isolated,2,claimed,negotiate_status,,,080A0E70,□は/幸せにつつまれた··□
08032C28,isolated,2,claimed,negotiate_status,,,080A0E8E,□を/幸せにしてあげた··□
08032C34,isolated,1,claimed,negotiate_status,,,080A0EE2,□は/魔法を封じられた··□
08032C3C,table,5,claimed,negotiate_status,,,080A0F1A,□は/力が抜けていった··□
08032C40,table,5,claimed,negotiate_status,,,080A0F1A,□は/力が抜けていった··□
08032C44,table,5,claimed,negotiate_status,,,080A0F1A,□は/力が抜けていった··□
08032C48,table,5,claimed,negotiate_status,,,080A0F38,··達は/ћ□手に入れた··□
08032C4C,table,5,claimed,negotiate_status,,,080A0F58,··達は/□MAG手に入れた··□
08032C54,isolated,1,claimed,story,,,080A0BC6,··は/”□”を/手に入れた··□
08032C60,table,6,claimed,negotiate_outcomes,,,080A0FEE,·□は/□に/□づけしようとした··□□しかし　強烈なヒジテツをくらい/
08032C64,table,6,claimed,negotiate_outcomes,,,080A1044,·□は/·に□づけをした··□
08032C68,table,6,claimed,negotiate_outcomes,,,080A1112,··達は/□EXP手に入れた··□
08032C6C,table,6,claimed,negotiate_outcomes,,,080A1136,·回復した・・・··□
08032C70,table,6,claimed,negotiate_outcomes,,,080A114E,·誰のまねをしますか？□.□
08032C74,table,6,claimed,negotiate_outcomes,,,080A116C,·ものまねできる悪魔がいない··□
08032CD8,table,10,claimed,battle_taunts,,,080A1190,·ふふふ　ここでは　命など/わたげの様に　かるい！··□
08032CDC,table,10,claimed,battle_taunts,,,080A11CA,·今日も　この俺の手は/血で染まるのか！··□
08032CE0,table,10,claimed,battle_taunts,,,080A11FA,·アンタの中にすくう魔が/オイラを狂気に　かりたてるぅ！··□
08032CE4,table,10,claimed,battle_taunts,,,080A123A,·弱肉強食！··□
